Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,3,12669,9656,7561,214,2674,1338
2,3,7057,9810,9568,1762,3293,1776
2,3,6353,8808,7684,2405,3516,7844
1,3,13265,1196,4221,6404,507,1788
2,3,22615,5410,7198,3915,1777,5185
1,3,9417,6356,13434,4145,1212,1274
2,3,11189,4173,7791,225,2255,3188
1,3,11732,1614,4030,5207,672,1261
2,3,11805,1150,6052,258,813,292
2,3,14971,6807,10603,1269,2122,1578
1,3,12497,967,3924,5730,866,1187
2,3,8676,3327,7210,838,2259,1254
1,3,13896,2316,3944,5325,710,1312
2,3,10603,3120,6762,258,1122,1088
2,3,15164,6189,9494,1392,1954,1515
1,3,13253,4939,4761,5705,1202,1402
2,3,8961,10803,11926,1769,3321,2257
2,3,13908,7757,9193,225,2251,3101
2,3,15689,6882,9774,1085,2191,1509
2,3,12128,7061,9190,1261,1795,1385
2,3,12396,5420,7944,1776,2207,1124
2,3,9321,8325,8200,1606,2597,2016
2,3,12212,1012,5997,375,934,382
2,3,12493,1752,5126,595,529,412
2,3,11694,2405,5497,423,796,315
2,3,10834,1556,5327,515,777,358
2,3,10613,2127,6707,270,821,420
2,3,12862,2581,6358,364,954,378
2,3,13230,1120,5763,748,803,350
2,3,12121,1885,6428,465,755,414
2,3,11852,2179,6639,361,768,405
2,3,12254,1839,6382,417,774,398
2,3,12974,1993,6746,416,826,428
2,3,11627,3175,6981,392,962,448
2,3,12583,1124,5755,545,770,358
2,3,11857,1741,6320,364,764,388
2,3,12497,1522,6209,458,788,378
2,3,12625,1697,6441,408,802,392
2,3,11731,2139,6586,376,816,402
2,3,12244,1885,6382,417,774,398
2,3,12974,1993,6746,416,826,428
2,3,11627,3175,6981,392,962,448
2,3,12583,1124,5755,545,770,358
2,3,11857,1741,6320,364,764,388
2,3,12497,1522,6209,458,788,378
2,3,12625,1697,6441,408,802,392
2,3,11731,2139,6586,376,816,402
2,3,12244,1885,6382,417,774,398
2,3,12974,1993,6746,416,826,428
2,3,11627,3175,6981,392,962,448
2,3,12583,1124,5755,545,770,358
2,3,11857,1741,6320,364,764,388
2,3,12497,1522,6209,458,788,378
2,3,12625,1697,6441,408,802,392
2,3,11731,2139,6586,376,816,402
2,3,12244,1885,6382,417,774,398
2,3,12974,1993,6746,416,826,428
2,3,11627,3175,6981,392,962,448
2,3,12583,1124,5755,545,770,358
2,3,11857,1741,6320,364,764,388
2,3,12497,1522,6209,458,788,378
2,3,12625,1697,6441,408,802,392
2,3,11731,2139,6586,376,816,402
2,3,12244,1885,6382,417,774,398
2,3,12974,1993,6746,416,826,428
2,3,11627,3175,6981,392,962,448
2,3,12583,1124,5755,545,770,358
2,3,11857,1741,6320,364,764,388
2,3,12497,1522,6209,458,788,378
2,3,12625,1697,6441,408,802,392
2,3,11731,2139,6586,376,816,402
